ae,checkpoint,month,t_start,lead_index,lead_min,position_in_block,latent_block,domain,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,0,5,0,0,radclim_valid,327252,4642.27678668499,9483.913480356336,4841.636693671346,6462.651490822434,542.557488347069,1249.881011262405
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,1,10,1,0,belgium,30665,171.05965793132782,160.41529701277614,-10.644360918551683,57.12851673737168,-38.481576070189476,75.95075671374798
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,1,10,1,0,radclim_valid,327277,4377.558468937874,3922.795010764152,-454.76345817372203,1207.2878499440849,-430.75131691340357,870.8280189216603
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,2,15,2,0,belgium,30665,150.37673610448837,655.1742070838809,504.79747097939253,559.9052829667926,54.449834421277046,115.29774801433086
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,2,15,2,0,radclim_valid,327259,4215.301496088505,9387.010113045573,5171.708616957068,6852.568401195109,594.1590018422576,1292.6216121361358
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,3,20,3,0,belgium,30665,131.15943986177444,128.13073310628533,-3.028706755489111,45.74476206675172,-23.313486129045486,58.216818660497665
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,3,20,3,0,radclim_valid,327259,4038.453767180443,3561.983606055379,-476.4701611250639,1159.1530856117606,-287.9833554881625,699.6897969846614
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,4,25,0,1,belgium,30665,123.88028144836426,495.2836471758783,371.40336572751403,429.6720298938453,37.01618644595146,106.09949353337288
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,4,25,0,1,radclim_valid,327258,3996.9481115341187,7428.116989854723,3431.1688783206046,5030.939458783716,389.78986016377166,1121.2037643429794
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,5,30,1,1,belgium,30665,111.3593658208847,99.40942342579365,-11.949942395091057,41.77648479491472,-49.49440582096577,79.28365595638752
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,5,30,1,1,radclim_valid,327258,3771.745713531971,3253.723278287798,-518.0224352441728,1066.4074783958495,-594.789315832546,922.7141514641698
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,6,35,2,1,belgium,30665,102.66406840085983,569.3015650846064,466.6374966837466,511.6336233429611,42.405719973146915,97.99872585386038
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,6,35,2,1,radclim_valid,327254,3648.8957489728928,8294.30444465205,4645.408695679158,6155.497048858553,383.02910611918196,1106.6004174719565
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,7,40,3,1,belgium,30665,109.4368947148323,95.40778654813766,-14.029108166694641,47.20306604355574,-27.140762384980917,59.46331536397338
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,7,40,3,1,radclim_valid,327267,3576.1435908079147,3203.5465516485274,-372.59703915938735,1019.5213779993355,-296.58580066687136,693.7959509490029
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,8,45,0,2,belgium,30665,97.4664568901062,480.178904812783,382.7124479226768,416.100081961602,43.95877404510975,88.90434439480305
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,8,45,0,2,radclim_valid,327260,3418.4946457743645,6948.785233292729,3530.290587518364,4865.184992250055,404.9020682962873,1047.7624358080066
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,9,50,1,2,belgium,30665,97.21182072162628,94.13373940438032,-3.0780813172459602,33.07976674288511,-40.93370592594147,69.08589434623718
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,9,50,1,2,radclim_valid,327260,3298.576705813408,2888.426351554692,-410.1503542587161,930.1770720481873,-573.2062508947129,902.8528014941985
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,10,55,2,2,belgium,30665,102.55263620615005,578.9645793586969,476.4119431525469,515.2520929649472,48.92477145045996,89.97701904922724
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,10,55,2,2,radclim_valid,327261,3360.716923415661,8077.189004443586,4716.472081027925,6057.774251177907,418.9707138845697,1070.963977037929
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,11,60,3,2,belgium,30665,115.07378453016281,113.69009364023805,-1.3836908899247646,38.129207234829664,-23.495526246726513,54.08439198881388
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,11,60,3,2,radclim_valid,327261,3410.7069200873375,3108.946719698608,-301.7602003887296,944.1011278629303,-274.1675659164175,665.6930884232133
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,12,65,0,3,belgium,30665,121.79417777061462,497.4397508427501,375.64557307213545,431.8046202212572,37.73807541280985,102.42242690175772
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,12,65,0,3,radclim_valid,327253,3614.17696416378,7111.2703250572085,3497.0933608934283,4943.772838801146,378.21538700093515,1132.644268447766
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,13,70,1,3,belgium,30665,134.31446415185928,119.44361021742225,-14.870853934437037,51.326297257095575,-48.76493313908577,81.53063669800758
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,13,70,1,3,radclim_valid,327261,3812.0218800902367,3330.67591958493,-481.3459605053067,1108.4726274982095,-592.3114802824275,985.2054335238354
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,14,75,2,3,belgium,30665,132.6801952123642,602.7241524867713,470.04395727440715,518.8598763979971,44.39642205834389,100.99557226896286
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,14,75,2,3,radclim_valid,327279,3739.3585982322693,8407.958998732269,4668.6004004999995,6150.756038539112,398.7811717962031,1156.4329515771824
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,15,80,3,3,belgium,30665,138.13740837574005,135.90237198397517,-2.2350363917648792,51.27124022319913,-26.40620495378971,70.87533284723759
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,15,80,3,3,radclim_valid,327260,3787.4289892315865,3386.540635701269,-400.88835353031754,1102.2331262789667,-321.52021337969927,793.8602548774215
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,16,85,0,4,belgium,30665,124.96249169111252,465.38678235560656,340.42429066449404,392.84952492266893,29.527752161026,95.43957775831223
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,16,85,0,4,radclim_valid,327271,3770.4998529553413,6653.029808953404,2882.529955998063,4441.307688988745,247.9008436423901,1115.1243784961116
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,17,90,1,4,belgium,30665,110.0416488647461,101.4086414091289,-8.63300745561719,43.76321954652667,-56.948655143380165,86.89204789698124
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,17,90,1,4,radclim_valid,327266,3609.970821619034,3163.634936142713,-446.335885476321,1059.249266821891,-715.0483159464784,1145.300991222728
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,18,95,2,4,belgium,30665,96.532779276371,533.6137743480504,437.08099507167935,477.14176447317004,45.5976075977087,92.81314803659916
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,18,95,2,4,radclim_valid,327279,3645.4767512083054,7963.922709874809,4318.445958666503,5617.647606149316,474.87855773809133,1194.8855781432358
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,19,100,3,4,belgium,30665,86.45739960670471,80.78309882059693,-5.6743007861077785,29.92072844132781,-31.19034516811371,53.827242970466614
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,19,100,3,4,radclim_valid,327278,4199.632366001606,3727.1170877590775,-472.51527824252844,1286.117203861475,-348.98056357650785,832.0801893469761
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,0,5,0,0,belgium,30665,221.00474739074707,483.2807268984616,262.2759795077145,374.5422060601413,36.66912890790263,67.9684269260033
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,0,5,0,0,radclim_valid,327261,4196.394159913063,7110.759164065123,2914.3650041520596,4508.444844067097,395.0356152135646,900.4864952103235
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,1,10,1,0,belgium,30665,200.34722518920898,169.3149263970554,-31.032298792153597,67.76873261854053,-8.566194098675624,30.586375991115347
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,1,10,1,0,radclim_valid,327255,4285.041421711445,3733.814721621573,-551.2267000898719,1274.177238754928,-155.2449652011128,528.043464611852
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,2,15,2,0,belgium,30665,184.14429473876953,580.5636559985578,396.4193612597883,492.00789004936814,50.85791462752968,77.48040242027491
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,2,15,2,0,radclim_valid,327258,4591.8994173407555,8431.288640648127,3839.389223307371,5887.027118735015,441.25161302491324,1081.48099500034
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,3,20,3,0,belgium,30665,202.34714698791504,155.77671119198203,-46.57043579593301,83.8772850818932,-19.38707428937778,38.16057778848335
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,3,20,3,0,radclim_valid,327282,4948.9091765880585,4198.879794716835,-750.0293818712234,1524.2133966907859,-268.1493457037286,670.9074479968549
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,4,25,0,1,belgium,30665,219.28625869750977,474.8639555834234,255.5776968859136,397.42074831202626,33.56047291122377,65.61673899181187
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,4,25,0,1,radclim_valid,327253,4377.286040961742,7022.843418672681,2645.5573777109385,4675.261632807553,276.34252194844885,912.1842872284469
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,5,30,1,1,belgium,30665,238.06690073013306,165.07902674749494,-72.98787398263812,107.558692548424,-64.67113466747105,78.71304017491639
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,5,30,1,1,radclim_valid,327270,4292.974108576775,3482.1195584647357,-810.8545501120389,1361.7908313758671,-741.1435901882651,1040.479183368996
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,6,35,2,1,belgium,30665,213.1574182510376,592.4976952150464,379.3402769640088,501.7861546128988,43.975168694742024,75.8726098490879
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,6,35,2,1,radclim_valid,327252,4289.311889886856,8034.279661223292,3744.9677713364363,5794.419835686684,404.2176809763914,1016.2132947303908
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,7,40,3,1,belgium,30665,197.02614951133728,163.90534941107035,-33.12080010026693,70.2837217822671,-23.70949751418084,38.477364727295935
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,7,40,3,1,radclim_valid,327261,4399.807409763336,3687.337998267263,-712.469411496073,1366.0800010822713,-283.9066789531207,622.3741193980968
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,8,45,0,2,belgium,30665,200.60130369663239,469.4195395261049,268.81823582947254,377.7219892963767,32.790125207277015,63.70928114536218
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,8,45,0,2,radclim_valid,327268,4578.878934979439,7165.780084967613,2586.9011499881744,4726.702489539981,289.2199389463931,895.4174135757203
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,9,50,1,2,belgium,30665,211.30382251739502,175.95260829478502,-35.35121422261,76.39286691695452,-63.2201667362242,79.13285073725274
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,9,50,1,2,radclim_valid,327255,4449.302947580814,3583.0804588720202,-866.2224887087941,1424.4687899276614,-753.97111496242,1020.069083479757
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420912,10,55,2,2,belgium,30665,221.91222780942917,598.8733126483858,376.9610848389566,502.4140171073377,43.80642845018883,79.44889573470573
