ae,checkpoint,month,t_start,lead_index,lead_min,position_in_block,latent_block,domain,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,13,70,1,3,radclim_valid,327261,3812.0218800902367,16627.437703818083,12815.415823727846,13861.610160693526,7003.23869061601,7534.982760260027
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,14,75,2,3,belgium,30665,132.6801952123642,102.78021961450577,-29.89997559785843,47.91489611566067,-723.4121716916561,749.7147785127163
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,14,75,2,3,radclim_valid,327279,3739.3585982322693,3018.715036049485,-720.6435621827841,1116.25004350394,-7742.962236406922,8107.270129743672
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,15,80,3,3,belgium,30665,138.13740837574005,1408.0628188103437,1269.9254104346037,1305.6453691497445,1010.8408653587103,1054.7731387466192
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,15,80,3,3,radclim_valid,327260,3787.4289892315865,17357.96174655482,13570.532757323235,14502.831256192178,10773.5012709953,11283.688259652059
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,16,85,0,4,belgium,30665,124.96249169111252,97.20940275862813,-27.75308893248439,47.15722540393472,-468.882404088974,494.34632486104965
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,16,85,0,4,radclim_valid,327271,3770.4998529553413,3071.478086516261,-699.0217664390802,1179.5531383156776,-4975.81692979511,5421.708549799194
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,17,90,1,4,belgium,30665,110.0416488647461,1315.7500776052475,1205.7084287405014,1243.426838748157,679.2388448566198,724.0650996118784
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,17,90,1,4,radclim_valid,327266,3609.970821619034,16451.50067519769,12841.529853578657,13873.960992339998,7287.603417451959,7849.008951552212
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,18,95,2,4,belgium,30665,96.532779276371,1237.0750702656806,1140.5422909893095,1171.8803498856723,297.1464357227087,339.4371093660593
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,18,95,2,4,radclim_valid,327279,3645.4767512083054,15624.080172650516,11978.60342144221,13141.486152119935,3172.8202081287163,3850.6313322953065
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,19,100,3,4,belgium,30665,86.45739960670471,1294.3702514357865,1207.9128518290818,1228.0317556895316,635.7618032693863,660.9615120887756
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,19,100,3,4,radclim_valid,327278,4199.632366001606,16983.02458433807,12783.392218336463,14031.60971622169,6823.657375876617,7400.957015266176
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,0,5,0,0,belgium,30665,221.00474739074707,1363.0790103375912,1142.074262946844,1220.5558407232165,271.15960742352763,298.55728403286776
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,0,5,0,0,radclim_valid,327261,4196.394159913063,16198.275047238916,12001.880887325853,13333.278122644871,2885.3217480260646,3369.4451190279797
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,1,10,1,0,belgium,30665,200.34722518920898,1405.8171725720167,1205.4699473828077,1290.9654322043061,689.9184250419494,718.8103862202261
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,1,10,1,0,radclim_valid,327255,4285.041421711445,17144.468237470835,12859.42681575939,14183.834301892668,7359.869658822325,7778.997217706536
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,2,15,2,0,belgium,30665,184.14429473876953,142.08534142374992,-42.05895331501961,71.21850142627954,-707.1852982630953,726.0263545466587
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,2,15,2,0,radclim_valid,327258,4591.8994173407555,3730.1379915438592,-861.7614257968962,1497.1464169062674,-7573.492039318837,7945.658244000457
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,3,20,3,0,belgium,30665,202.34714698791504,1488.0533115975559,1285.7061646096408,1358.7073659189045,1015.0733749293722,1035.5884764250368
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,3,20,3,0,radclim_valid,327282,4948.9091765880585,18579.81104695797,13630.901870369911,14970.937201932073,10791.393134765021,11183.115943130644
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,4,25,0,1,belgium,30665,219.28625869750977,172.36501418426633,-46.92124451324344,84.34299363568425,-465.56257396377623,482.69645295105875
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,4,25,0,1,radclim_valid,327253,4377.286040961742,3611.182981669903,-766.1030592918396,1327.839907348156,-5021.199958520301,5351.2148359490675
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,5,30,1,1,belgium,30665,238.06690073013306,1444.4976349808276,1206.4307342506945,1315.9412837065756,689.253425879404,710.8110976349562
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,5,30,1,1,radclim_valid,327270,4292.974108576775,17202.04438246414,12909.070273887366,14156.473567333072,7333.53927113986,7748.166333806206
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,6,35,2,1,belgium,30665,213.1574182510376,167.84286416694522,-45.31455408409238,78.3830380924046,-722.081471930258,736.2854904001579
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,6,35,2,1,radclim_valid,327252,4289.311889886856,3428.4638365507126,-860.8480533361435,1371.541578002274,-7718.729584648609,8024.652900276575
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,7,40,3,1,belgium,30665,197.02614951133728,1476.3918390721083,1279.365689560771,1343.155385941267,1017.6489009233192,1037.7804016405717
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,7,40,3,1,radclim_valid,327261,4399.807409763336,17985.92924858257,13586.121838819236,14812.379434008151,10836.098936281254,11199.12017482883
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,8,45,0,2,belgium,30665,200.60130369663239,158.32044262439013,-42.28086107224226,69.8208903297782,-466.977697058348,483.4579228020739
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,8,45,0,2,radclim_valid,327268,4578.878934979439,3738.8943965919316,-839.9845383875072,1405.3308077938855,-5034.194855975482,5348.968170475535
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,9,50,1,2,belgium,30665,211.30382251739502,1432.5320756584406,1221.2282531410456,1304.2986379042268,687.8711418575258,712.3952985526412
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,9,50,1,2,radclim_valid,327255,4449.302947580814,17272.573964700103,12823.271017119288,14282.968038395047,7314.77888503758,7736.781978057523
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420912,10,55,2,2,belgium,30665,221.91222780942917,170.09481709823012,-51.817410711199045,82.82826760038733,-723.7765793623112,739.1639320878021
